#name;МГУ им. Н.П. Огарёва;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва»;;;
-1;*;нейротехнологии и когнитивные науки;P3;9 21 14 15 31 12 16 17 18;M
-1;*;новые материалы;P3;9 21 14 15 31 12 16 17 18;M
-1;*;передовые производственные технологии;P3;9 21 14 15 31 12 16 17 18;M
-1;*;ядерные технологии;P3;9 21 14 15 31 12 16 17 18;M
-1;*;автоматизация бизнес-процессов;P3;9 21 14 15 31 12 16 17 18;M
-1;*;автономные транспортные системы;P3;9 21 14 15 31 12 16 17 18;M
-1;*;анализ космических снимков и геопространственных данных;P3;9 21 14 15 31 12 16 17 18;M
-1;*;аэрокосмические системы;P3;9 21 14 15 31 12 16 17 18;M
-1;*;большие данные и машинное обучение;P3;9 21 14 15 31 12 16 17 18;M
-1;*;беспилотные авиационные системы;P3;9 21 14 15 31 12 16 17 18;M
-1;*;водные робототехнические системы;P3;9 21 14 15 31 12 16 17 18;M
-1;*;инженерные биологические системы;P3;9 21 14 15 31 12 16 17 18;M
-1;*;информационная безопасность;P3;9 21 14 15 31 12 16 17 18;M
-1;*;интеллектуальные робототехнические системы;P3;9 21 14 15 31 12 16 17 18;M
-1;*;искусственный интеллект;P3;9 21 14 15 31 12 16 17 18;M
-1;*;интеллектуальные энергетические системы;P3;9 21 14 15 31 12 16 17 18;M
-1;*;наносистемы и наноинженерия;P3;9 21 14 15 31 12 16 17 18;M
-1;*;разработка приложений виртуальной и дополненной реальности;P3;9 21 14 15 31 12 16 17 18;M
-1;*;технологии беспроводной связи;P3;9 21 14 15 31 12 16 17 18;M
-1;*;умный город;P3;9 21 14 15 31 12 16 17 18;M
-1;*;программная инженерия финансовых технологий;P3;9 21 14 15 31 12 16 17 18;M
-1;*;гуманитарные и социальные науки;P3;43 34 45 46 47 33;O
-1;*;социология;P3;43 34 45 46 47 33;O
-1;*;обществознание;P3;43 34 45 46 47 33;O
-1;*;философия;P3;43 34 45 46 47 33;O
-1;*;финансовая грамотность;P3;43 34 45 46 47 33;O
-1;*;основы бизнеса;P3;43 34 45 46 47 33;O
-1;*;графика;P3;43 34 45 46 47 33;O
-1;*;право;P3;43 34 45 46 47 33;O
-1;*;астрономия;P3;56 57 7 8 28 58 30 22 19 63 64;F
-1;*;инженерные науки;P3;56 57 7 8 28 58 30 22 19 63 64;F
-1;*;инженерное дело;P3;56 57 7 8 28 58 30 22 19 63 64;F
-1;*;нанотехнологии;P3;56 57 7 8 28 58 30 22 19 63 64;F
-1;*;физика;P3;56 57 7 8 28 58 30 22 19 63 64;F
-1;*;техника и технологии;P3;56 57 7 8 28 58 30 22 19 63 64;F
-1;*;естественные науки;P3;20 1;C
-1;*;медицина;P3;20 1;C
-1;*;химия;P3;20 1;C
