#info;ЛЭТИ;Федеральное государственное автономное образовательное учреждение высшего образования Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина) ;;9;9
1;01.03.02;Прикладная математика и информатика;MRFI;;
0;*;анализ космических снимков и геопространственных данных;P3;17 23;I
0;*;астрономия;P3;17 23;F
0;*;астрономия и науки о земле;P3;17 23;F
0;*;аэрокосмические системы;P3;17 23;FI
0;*;беспилотные авиационные системы;P3;17 23;FI
0;*;большие данные и машинное обучение;P3;17 23;MI
0;*;вероятность и статистика;P3;17 23;M
0;*;виртуальные миры: разработка компьютерных игр, технологии виртуальной реальности, технологии дополненной реальности;P3;17 23;MI
0;*;водные робототехнические системы;P3;17 23;FI
0;*;высокие технологии;P3;17 23;MFC
0;*;геномное редактирование;P3;17 23;CI
0;*;естественные науки;P3;17 23;MFCI
0;*;инженерное дело;P3;17 23;MFCI
0;*;инженерные биологические системы;P3;17 23;C
0;*;инженерные науки;P3;17 23;MFIC
0;*;инженерные системы;P3;17 23;MFCI
0;*;инженерно-конструкторский;P3;17 23;I
0;*;интеллектуальные робототехнические системы;P3;17 23;MI
0;*;интеллектуальные энергетические системы;P3;17 23;MI
0;*;информационная безопасность;P3;17 23;MI
0;*;искусственный интеллект;P3;17 23;MI
0;*;композитные технологии;P3;17 23;FC
0;*;компьютерная безопасность;P3;17 23;I
0;*;компьютерное моделирование и графика;P3;17 23;MI
0;*;космонавтика;P3;17 23;MFI
0;*;летающая робототехника;P3;17 23;IF
0;*;математическое моделирование и искусственный интеллект;P3;17 23;MI
0;*;механика и математическое моделирование;P3;17 23;MF
0;*;наносистемы и наноинженерия;P3;17 23;FC
0;*;нанотехнологии;P3;17 23;MFC
0;*;научно-технический;P3;17 23;MF
0;*;нейротехнологии и когнитивные науки;P3;17 23;I
0;*;новые материалы;P3;17 23;CI
0;*;передовые производственные технологии;P3;17 23;FI
0;*;предпрофессиональная;P3;17 23;MFIC
0;*;программирование;P3;17 23;I
0;*;программная инженерия финансовых технологий;P3;17 23;MI
0;*;разработка компьютерных игр;P3;17 23;MI
0;*;робототехника;P3;17 23;MFI
0;*;спутниковые системы;P3;17 23;IF
0;*;техника и технологии;P3;17 23;MF
0;*;технологии беспроводной связи;P3;17 23;MI
0;*;технологии виртуальной реальности;P3;17 23;MI
0;*;технологии дополненной реальности;P3;17 23;MI
0;*;технологическое предпринимательство;P3;17 23;I
0;*;умный город;P3;17 23;FI
0;*;финансовая безопасность;P3;17 23;MI
0;*;финансовая грамотность;P3;17 23;M
0;*;финансовый инжиниринг;P3;17 23;MI
0;*;цифровые технологии в архитектуре;P3;17 23;IF
0;*;экология;P3;17 23;C
0;*;экономика;P3;17 23;M
0;*;ядерные технологии;P3;17 23;FI
0;*;математика;P3;18 22;M
0;*;информатика;P3;18 22;I
0;*;автоматизация бизнес-процессов;P3;18 22;MI
0;*;автономные транспортные системы;P3;18 22;I
0;*;анализ данных;P3;18 22;MI
0;*;анализ космических снимков и геопространственных данных;P3;18 22;I
0;*;аэрокосмические системы;P3;18 22;I
0;*;беспилотные авиационные системы;P3;18 22;I
0;*;большие данные и машинное обучение;P3;18 22;MI
0;*;вероятность и статистика;P3;18 22;M
0;*;виртуальные миры: разработка компьютерных игр, технологии виртуальной реальности, технологии дополненной реальности;P3;18 22;MI
0;*;водные робототехнические системы;P3;18 22;I
0;*;высокие технологии;P3;18 22;M
0;*;геномное редактирование;P3;18 22;I
0;*;естественные науки;P3;18 22;MI
0;*;инженерное дело;P3;18 22;MI
0;*;инженерные науки;P3;18 22;MI
0;*;инженерные системы;P3;18 22;MI
0;*;инженерно-конструкторский;P3;18 22;I
0;*;интеллектуальные робототехнические системы;P3;18 22;MI
0;*;интеллектуальные энергетические системы;P3;18 22;MI
0;*;информационная безопасность;P3;18 22;MI
0;*;искусственный интеллект;P3;18 22;MI
0;*;компьютерная безопасность;P3;18 22;I
0;*;компьютерное моделирование и графика;P3;18 22;MI
0;*;космонавтика;P3;18 22;MI
0;*;летающая робототехника;P3;18 22;I
0;*;математическое моделирование и искусственный интеллект;P3;18 22;MI
0;*;механика и математическое моделирование;P3;18 22;M
0;*;нанотехнологии;P3;18 22;M
0;*;научно-технический;P3;18 22;M
0;*;нейротехнологии и когнитивные науки;P3;18 22;I
0;*;новые материалы;P3;18 22;I
0;*;передовые производственные технологии;P3;18 22;I
0;*;предпрофессиональная;P3;18 22;MI
0;*;программирование;P3;18 22;I
0;*;программная инженерия финансовых технологий;P3;18 22;MI
0;*;разработка компьютерных игр;P3;18 22;MI
0;*;робототехника;P3;18 22;MI
0;*;спутниковые системы;P3;18 22;I
0;*;техника и технологии;P3;18 22;M
0;*;технологии беспроводной связи;P3;18 22;MI
0;*;технологии виртуальной реальности;P3;18 22;MI
0;*;технологии дополненной реальности;P3;18 22;MI
0;*;технологическое предпринимательство;P3;18 22;I
0;*;умный город;P3;18 22;I
0;*;финансовая безопасность;P3;18 22;MI
0;*;финансовая грамотность;P3;18 22;M
0;*;финансовый инжиниринг;P3;18 22;MI
0;*;цифровые технологии в архитектуре;P3;18 22;I
0;*;экономика;P3;18 22;M
0;*;ядерные технологии;P3;18 22;I
0;*;обществознание;P3;24 25;O
0;*;иностранный язык;P3;24 25;L
0;*;русский язык;P3;24 25;R
0;*;история;P3;24 25;H
0;*;литература;P3;24 25;K
0;*;восточные языки;P3;24 25;L
0;*;гуманитарные и социальные науки;P3;24 25;OH
0;*;история мировых цивилизаций;P3;24 25;H
0;*;лингвистика;P3;24 25;RL
0;*;международные отношения;P3;24 25;HO
0;*;международные отношения и глобалистика;P3;24 25;H
0;*;основы бизнеса;P3;24 25;O
0;*;политология;P3;24 25;HO
0;*;право;P3;24 25;O
0;*;психология;P3;24 25;P
0;*;социология;P3;24 25;PG
0;*;технологическое предпринимательство;P3;24 25;P
0;*;филология;P3;24 25;RKL
0;*;финансовая грамотность;P3;24 25;O
0;*;философия;P3;24 25;O
0;*;экономика;P3;24 25;O
-1;*;русский язык;P3;*;R
