#name;#name;РСОШ 2024-25
Олимпиада школьников «Физтех»;математика;2
Олимпиада школьников «Физтех»;научно-технический;2
Олимпиада школьников «Физтех»;инженерное дело;3
Олимпиада школьников «Физтех»;физика;1
Олимпиада школьников «Шаг в будущее»;информатика;2
Олимпиада школьников «Шаг в будущее»;инженерное дело;2
Олимпиада школьников «Шаг в будущее»;математика;3
Олимпиада школьников «Шаг в будущее»;физика;3
Олимпиада школьников «Шаг в будущее»;компьютерное моделирование и графика;3
Олимпиада школьников по информатике и программированию;информатика;1
Олимпиада школьников по программированию «ТехноКубок»;информатика;2
Олимпиада школьников по химии в ФГБОУ ВО ПСПбГМУ им. И. П. Павлова Минздрава России;химия;2
Олимпиада школьников по экономике в рамках международного экономического фестиваля школьников «Сибириада. Шаг в мечту»;экономика;2
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;иностранный язык;3
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;история;2
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;обществознание;2
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;политология;2
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;журналистика;2
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;финансовая грамотность;3
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;экономика;2
Олимпиада школьников Санкт-Петербургского государственного университета;инженерные системы;3
Олимпиада школьников Санкт-Петербургского государственного университета;биология;1
Олимпиада школьников Санкт-Петербургского государственного университета;география;1
Олимпиада школьников Санкт-Петербургского государственного университета;иностранный язык;1
Олимпиада школьников Санкт-Петербургского государственного университета;филология;1
Олимпиада школьников Санкт-Петербургского государственного университета;информатика;1
Олимпиада школьников Санкт-Петербургского государственного университета;история;1
Олимпиада школьников Санкт-Петербургского государственного университета;медицина;1
Олимпиада школьников Санкт-Петербургского государственного университета;математика;1
Олимпиада школьников Санкт-Петербургского государственного университета;математическое моделирование и искусственный интеллект;3
Олимпиада школьников Санкт-Петербургского государственного университета;обществознание;1
Олимпиада школьников Санкт-Петербургского государственного университета;гуманитарные и социальные науки;2
Олимпиада школьников Санкт-Петербургского государственного университета;международные отношения;2
Олимпиада школьников Санкт-Петербургского государственного университета;политология;2
Олимпиада школьников Санкт-Петербургского государственного университета;право;1
Олимпиада школьников Санкт-Петербургского государственного университета;психология;3
Олимпиада школьников Санкт-Петербургского государственного университета;журналистика;1
Олимпиада школьников Санкт-Петербургского государственного университета;физика;1
Олимпиада школьников Санкт-Петербургского государственного университета;философия;2
Олимпиада школьников Санкт-Петербургского государственного университета;химия;1
Олимпиада школьников Санкт-Петербургского государственного университета;экономика;2
Олимпиада школьников федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» «В мир права»;право;2
Олимпиада Юношеской математической школы;математика;2
Открытая межвузовская олимпиада школьников Сибирского федерального округа «Будущее Сибири»;физика;2
Открытая межвузовская олимпиада школьников Сибирского федерального округа «Будущее Сибири»;химия;2
Открытая олимпиада Северо-Кавказского федерального университета среди учащихся образовательных организаций «45 параллель»;география;2
Открытая олимпиада школьников;информатика;1
Открытая олимпиада школьников;математика;3
Открытая олимпиада школьников;физика;3
Открытая олимпиада школьников по программированию;информатика;1
Открытая олимпиада школьников по программированию «Когнитивные технологии»;информатика;2
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием;география;3
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием;история;3
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием;литература;2
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием;русский язык;3
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием;физика;3
Открытая химическая олимпиада;химия;3
Отраслевая олимпиада школьников «Газпром»;информационные и коммуникационные технологии;2
Отраслевая олимпиада школьников «Газпром»;математика;3
Отраслевая олимпиада школьников «Газпром»;инженерное дело;3
Отраслевая олимпиада школьников «Газпром»;физика;3
Отраслевая олимпиада школьников «Газпром»;химия;3
Отраслевая физико-математическая олимпиада школьников «Росатом»;информатика;2
Отраслевая физико-математическая олимпиада школьников «Росатом»;математика;2
Отраслевая физико-математическая олимпиада школьников «Росатом»;физика;1
Пироговская олимпиада для школьников по химии и биологии;биология;2
Пироговская олимпиада для школьников по химии и биологии;химия;3
Плехановская олимпиада школьников;иностранный язык;3
Плехановская олимпиада школьников;финансовая грамотность;3
Плехановская олимпиада школьников;экономика;3
Плехановская олимпиада школьников;русский язык;2
Региональный конкурс школьников Челябинского университетского образовательного округа;иностранный язык;3
Региональный конкурс школьников Челябинского университетского образовательного округа;обществознание;3
Санкт-Петербургская астрономическая олимпиада;астрономия;1
Санкт-Петербургская олимпиада школьников;математика;1
Санкт-Петербургская олимпиада школьников;химия;1
Северо-Восточная олимпиада школьников;родные языки;3
Северо-Восточная олимпиада школьников;филология;3
Сибирская межрегиональная олимпиада школьников «Архитектурно-дизайнерское творчество»;архитектура, изобразительные и прикладные виды искусств;3
Строгановская олимпиада;рисунок, живопись, скульптура, дизайн;1
Твой путь в настоящую науку;физика;3
Телевизионная гуманитарная олимпиада школьников «Умницы и умники»;гуманитарные и социальные науки;1
Турнир городов;математика;1
Турнир имени М.В. Ломоносова;астрономия и науки о земле;3
Турнир имени М.В. Ломоносова;биология;3
Турнир имени М.В. Ломоносова;история;2
Турнир имени М.В. Ломоносова;литература;2
Турнир имени М.В. Ломоносова;математика;2
Турнир имени М.В. Ломоносова;лингвистика;2
Турнир имени М.В. Ломоносова;физика;2
Турнир имени М.В. Ломоносова;химия;3
Университетская олимпиада школьников «Бельчонок»;информатика;2
Университетская олимпиада школьников «Бельчонок»;математика;3
Университетская олимпиада школьников «Бельчонок»;физика;3
Университетская олимпиада школьников «Бельчонок»;химия;2
